address,interface
103.156.129.1/32,lo
103.156.129.114/30,PT.ANDIKA_555--CCR1016
113.59.234.171/32,2.IPTRX_642--RBN
119.11.184.194/22,Content_596--JKTIX
123.108.9.10/21,Content_597--IIX
175.184.239.164/32,1.IPTRX_1675--DATAUTAMA
10.250.0.22/30,Content_2101--TLN
172.16.2.1/24,sfp-sfpplus1(N3K-ETH1/22)
103.156.128.61/30,MetroLINKNET_101-PAKIS-SAPTORENGGO
103.156.128.33/30,MetroIFORTE-DCK_376-KRIAN
103.156.128.57/30,MetroIFORTE-GNM_410-SAPTORENGGO-MALANG
103.156.128.113/30,MetroIFORTE-GNM_377-OFFICE-RA
103.156.128.49/30,MetroFIBERSTAR_2022-BARENG-MALANG
103.156.128.65/30,MetroIFORTE-GNM_2899-PAKIS-SUKOANYAR-MALANG
103.156.128.41/29,MetroTIS_3951-WAJAK-MALANG
172.21.3.1/30,QinQ_1222-MITRA-NGAWONGGO
172.30.112.1/30,QinQ-746_GEDANGAN_IWAN
192.168.88.3/24,QinQ_CRS_WAJAK-MGMT
172.30.24.1/30,QinQ_1224-ERICLEDY
172.30.22.1/30,QinQ_1221-MITRA-ANJAR-WAJAK
172.16.1.11/29,MGMT-NEXUS
103.156.128.81/28,PT_ANDIKA-1993-1016
103.156.128.117/30,MGMT-NEXUS
192.168.88.2/24,MetroTIS_3951-WAJAK-MALANG
103.156.129.114/32,<sstp-NOC-JOGJA>
10.65.20.1/32,<sstp-zzMichaelVPN>
